,0
405,SSG 08 | Azure Glyph (Field-Tested)
406,Glock-18 | Umbral Rabbit (Minimal Wear)
407,AK-47 | Neon Rider (Battle-Scarred)
408,Sticker | MOUZ (Glitter) | Rio 2022
409,MP7 | Anodized Navy (Factory New)
410,Desert Eagle | Sputnik (Factory New)
411,AK-47 | Uncharted (Minimal Wear)
412,MAC-10 | Silver (Factory New)
413,M4A1-S | Emphorosaur-S (Battle-Scarred)
414,AWP | Phobos (Minimal Wear)
415,USP-S | Torque (Minimal Wear)
416,M4A1-S | Emphorosaur-S (Factory New)
417,2020 RMR Legends
418,AWP | Acheron (Field-Tested)
419,AWP | Mortis (Minimal Wear)
420,P250 | Boreal Forest (Field-Tested)
421,Sticker | Fnatic (Glitter) | Paris 2023
422,AK-47 | Legion of Anubis (Battle-Scarred)
423,Sticker | 9INE (Holo) | Paris 2023
424,P250 | Metallic DDPAT (Factory New)
425,Glock-18 | Moonrise (Minimal Wear)
426,M4A4 | Temukau (Field-Tested)
427,Sticker | Natus Vincere (Holo) | Paris 2023
428,Galil AR | Tuxedo (Minimal Wear)
429,USP-S | Stainless (Field-Tested)
430,AK-47 | Ice Coaled (Battle-Scarred)
431,AWP | Fever Dream (Minimal Wear)
432,USP-S | Cyrex (Factory New)
433,AK-47 | Legion of Anubis (Factory New)
434,StatTrak™ Tec-9 | Rebel (Field-Tested)
435,AUG | Sweeper (Field-Tested)
436,StatTrak™ AK-47 | Uncharted (Factory New)
437,XM1014 | Entombed (Factory New)
438,Sticker | Baby Howl
439,UMP-45 | Carbon Fiber (Factory New)
440,"Music Kit | bbno$, u mad!"
441,USP-S | Cortex (Battle-Scarred)
442,B Squadron Officer | SAS
443,AWP | Sun in Leo (Minimal Wear)
444,AK-47 | Phantom Disruptor (Battle-Scarred)
445,Sticker | 9INE (Glitter) | Paris 2023
446,AWP | Fever Dream (Field-Tested)
447,Antwerp 2022 Contenders Autograph Capsule
448,Desert Eagle | Light Rail (Minimal Wear)
449,StatTrak™ AK-47 | Uncharted (Field-Tested)
450,USP-S | Black Lotus (Field-Tested)
451,StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)
452,Stockholm 2021 Legends Sticker Capsule
453,Street Soldier | Phoenix
454,MAC-10 | Last Dive (Field-Tested)
455,SSG 08 | Azure Glyph (Field-Tested)
456,Glock-18 | Umbral Rabbit (Minimal Wear)
457,AK-47 | Neon Rider (Battle-Scarred)
458,Sticker | MOUZ (Glitter) | Rio 2022
459,MP7 | Anodized Navy (Factory New)
460,Desert Eagle | Sputnik (Factory New)
461,AK-47 | Uncharted (Minimal Wear)
462,MAC-10 | Silver (Factory New)
463,M4A1-S | Emphorosaur-S (Battle-Scarred)
464,AWP | Phobos (Minimal Wear)
465,USP-S | Torque (Minimal Wear)
466,M4A1-S | Emphorosaur-S (Factory New)
467,2020 RMR Legends
468,AWP | Acheron (Field-Tested)
469,AWP | Mortis (Minimal Wear)
470,P250 | Boreal Forest (Field-Tested)
471,Sticker | Fnatic (Glitter) | Paris 2023
472,AK-47 | Legion of Anubis (Battle-Scarred)
473,Sticker | 9INE (Holo) | Paris 2023
474,P250 | Metallic DDPAT (Factory New)
475,Glock-18 | Moonrise (Minimal Wear)
476,M4A4 | Temukau (Field-Tested)
477,Sticker | Natus Vincere (Holo) | Paris 2023
478,Galil AR | Tuxedo (Minimal Wear)
479,USP-S | Stainless (Field-Tested)
480,AK-47 | Ice Coaled (Battle-Scarred)
481,AWP | Fever Dream (Minimal Wear)
482,USP-S | Cyrex (Factory New)
483,AK-47 | Legion of Anubis (Factory New)
484,StatTrak™ Tec-9 | Rebel (Field-Tested)
485,AUG | Sweeper (Field-Tested)
486,StatTrak™ AK-47 | Uncharted (Factory New)
487,XM1014 | Entombed (Factory New)
488,Sticker | Baby Howl
489,UMP-45 | Carbon Fiber (Factory New)
490,"Music Kit | bbno$, u mad!"
491,USP-S | Cortex (Battle-Scarred)
492,B Squadron Officer | SAS
493,AWP | Sun in Leo (Minimal Wear)
494,AK-47 | Phantom Disruptor (Battle-Scarred)
495,Sticker | 9INE (Glitter) | Paris 2023
496,AWP | Fever Dream (Field-Tested)
497,Antwerp 2022 Contenders Autograph Capsule
498,Desert Eagle | Light Rail (Minimal Wear)
499,StatTrak™ AK-47 | Uncharted (Field-Tested)
500,AUG | Surveillance (Field-Tested)
501,FAMAS | Rapid Eye Movement (Field-Tested)
502,AK-47 | Steel Delta (Field-Tested)
503,'Two Times' McCoy | USAF TACP
504,AK-47 | Emerald Pinstripe (Well-Worn)
505,AWP | Black Nile (Minimal Wear)
506,Jungle Rebel | Elite Crew
507,Glock-18 | Candy Apple (Minimal Wear)
508,SG 553 | Dragon Tech (Minimal Wear)
509,Antwerp 2022 Legends Sticker Capsule
510,Sticker | Spirit (Holo) | 2020 RMR
511,Sticker | TYLOO | 2020 RMR
512,MAC-10 | Disco Tech (Field-Tested)
513,MAG-7 | Metallic DDPAT (Factory New)
514,Little Kev | The Professionals
515,MAC-10 | Last Dive (Factory New)
516,Sticker | Fnatic (Foil) | 2020 RMR
517,AK-47 | Elite Build (Battle-Scarred)
518,Stockholm 2021 Contenders Sticker Capsule
519,USP-S | Ticket to Hell (Factory New)
520,3rd Commando Company | KSK
521,AWP | Acheron (Minimal Wear)
522,P250 | Valence (Minimal Wear)
523,Desert Eagle | Meteorite (Minimal Wear)
524,M4A1-S | Nightmare (Minimal Wear)
525,AWP | Exoskeleton (Well-Worn)
526,StatTrak™ M4A1-S | Night Terror (Field-Tested)
527,Sticker | Fnatic (Holo) | Paris 2023
528,M4A4 | Neo-Noir (Battle-Scarred)
529,AWP | Fever Dream (Battle-Scarred)
530,Sticker | Team Liquid (Holo) | Paris 2023
531,Sticker | Into The Breach (Holo) | Paris 2023
532,Galil AR | Rocket Pop (Minimal Wear)
